No,Deskripsi,Keterangan
I,Informasi Umum,
1,Nama perusahaan ,Nama perusahaan
2,Website perusahaan,Website perusahaan
3,Tanggal berdiri perusahaan ,Tanggal berdiri perusahaan 
4,Jenis Bisnis,"Pilih salah satu jenis bisnis (Misal : P2P Lending, Fintech, Aggregator, dsb)"
5,Struktur organisasi perusahaan ,Struktur organisasi perusahaan (lampirkan dokumen)
6,Penanggung jawab perusahaan (CEO),Pemimpin tertinggi di perusahaan (Level CEO)
7,Jumlah karyawan IT,Total jumlah karyawan IT
a,Pegawai Tetap,Total Jumlah pegawai tetap
b,Outsourcing,Total jumlah Outsorcing
8,Apakah telah terdaftar di OJK / BI (Apabila perusahaan merupakan Tekfin),Dijawab Ya atau Tidak
,,
9,Apakah perusahaan memiliki sertifikasi terkait IT,Pilih sertifikasi terkait IT yang dimiliki perusahaan (Dapat memilih lebih dari satu) (Lampirkan dokumen)
10,Lokasi server dan/atau data (Pilih salah satu),a. Server dan/atau data credential sepenuhnya ada di on premise BNI
,,"b. Sebagian server/data credential ada di BNI, sebagian lainnya dikelola oleh perusahaan"
,,c. Server dan/atau data credential sepenuhnya ada di perusahaan.
II,Pengamanan Data,
1,Apakah terdapat credential data pada perusahaan,Dijawab Ya atau Tidak.
,,
2,Siapa penanggung jawab keamanan data perusahaan (level CISO),Pemimpin di sisi keamanan (Level Chief Information Security Officer - CISO)
3,Sebutkan jenis data credential pada perusahaan,"Jenis data credential yang ada di perusahaan (data no. rekening, no. HP, user, password, dsb)"
4,Apakah terdapat klasifikasi data pada perusahaan,Dijawab Ya atau Tidak
5,Bagaimana cara perusahaan untuk menjaga kerahasiaan data credential (Pilih salah satu),"a. Enkripsi data at rest (Data yang disimpan dalam database, harddisk, dsb) - umumnya menggunakan metode AES 256, dsb"
,,"b. Enkripsi data at motion (Data yang sedang dalam proses pengiriman, misal H2H, internet, dsb) - umumnya menggunakan metode VPN / TLS"
