
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-04-28 21:27:52 /up ...................................................................................... ~ 2s
  2026-04-28 21:28:43 /api/login ............................................................................... ~ 1s
  2026-04-28 21:28:56 /api/login ............................................................................... ~ 1s
  2026-04-28 21:28:57 /api/login ......................................................................... ~ 507.86ms
  2026-04-28 21:28:58 /api/login ......................................................................... ~ 504.97ms
  2026-04-28 21:29:42 /api/login ............................................................................... ~ 1s
  2026-04-28 21:29:43 /api/login ......................................................................... ~ 510.57ms
  2026-04-28 21:29:44 /api/login ......................................................................... ~ 508.47ms
  2026-04-28 21:29:44 /api/login ......................................................................... ~ 510.72ms
  2026-04-28 21:29:45 /api/login ............................................................................... ~ 1s
  2026-04-28 21:29:58 /up .................................................................................. ~ 1.25ms
